engine,nox_c,nox_p,co_beta,co_gamma,co_max,co_min,hc_na,hc_max,hc_min,hc_ff85,hc_beta,hc_gamma,hc_a1,hc_b1,hc_b2
PW4256,15.7614,0.758355,1.4463,1.34731,23.2,0.11,False,1.32,0.14,0,1.84528,-0.589933,,,
PW4460,15.0624,0.762012,2.49785,1.37812,40.64,0.44,False,3.32,0.065,0,1.40133,0.467519,,,
PW4x50,15.2211,0.729027,1.75378,1.91327,73.82,0.575,False,13.6,0.095,0,0.854139,2.15707,,,
PW4x52,15.2893,0.737868,1.80938,1.88047,69.08,0.56,False,12.04,0.09,0,0.887687,2.05114,,,
PW4x56,15.4353,0.766613,1.97401,1.7835,59.92,0.52,False,9.5,0.085,0,1.05917,1.66445,,,
PW4x58,15.4829,0.785204,2.0977,1.72223,56.16,0.485,False,8.58,0.085,0,1.12227,1.52922,,,
PW4X58,12.7202,0.590165,3.59713,1.23258,48.6,0.25,False,3.4,0,0,,,-14.6017,-9.60621,-7
PW4x60,15.5418,0.806146,2.21304,1.65276,51.66,0.46,False,7.46,0.08,0,1.23495,1.29983,,,
PW4x62,15.5246,0.834878,2.35246,1.58059,47.92,0.445,False,6.52,0.08,0,1.35578,1.07617,,,
PW6122A,15.8986,0.810615,1.17784,1.43227,49.36,0.73,False,0.012,0.0005,0.86,0.00887698,1.91726,,,
PW6124A,17.777,0.833438,1.18972,1.46864,50.38,0.745,False,0.004,0.001,0.939,0.0489137,0.195396,,,
RB211-22B,16.0395,1.30146,8.58714,1.5629,177.98,1.23,False,135.5,0.2,1.546,3.40654,2.33512,,,
RB211-524B,18.1743,1.31724,1.87305,1.41573,24.78,0.515,False,3.9,0.325,0,2.53085,-0.124287,,,
RB211-524C2,14.3542,1.17227,12.3774,1.556,162,1.145,False,108.4,0.11,2.02,5.56667,2.17247,,,
RB211-524D4,18.5517,1.34894,2.09323,1.19147,18.6,0.79,False,2.82,0.425,0,2.78228,-0.500709,,,
RB211-524G,15.3412,1.37617,1.64732,1.73007,27.48,0.51,False,1.78,0.33,0,2.43371,-0.731397,,,
RB211-524G-T,12.1107,0.857775,1.8968,2.12827,57.64,0.15,False,7.9,0.015,0,,,-16.7231,-9.18685,-4.26144
RB211-524H,16.4393,1.36964,1.74098,1.55432,23.5,0.625,False,1.48,0.335,0,2.50995,-0.927811,,,
RB211-524H-T,12.12,0.884935,2.0182,1.99368,52.34,0.16,False,6.62,0.01,0,,,-15.9481,-8.81026,-4.34949
RB211-535C,15.3209,1.31917,0.334174,3.21812,37.58,0.485,False,2.88,0.195,0,1.71056,0.0581475,,,
RB211-535E4,13.7182,0.735681,1.90214,1.42118,40.66,0.275,False,0.54,0.015,1.5,0.476848,0.811099,,,
RB211-535E4B,13.9798,0.790271,1.96307,1.3836,36.48,0.295,False,0.28,0.035,1.64,0.75032,-0.373589,,,
Spey 555,23.3297,1.0341,0.818818,1.67303,62.32,1.81,False,6.82,0.185,0,0.158356,3.03231,,,
SPEY Mk511,26.5705,1.04342,2.3959,1.74199,195.92,1.935,False,113.46,1.15,0,1.26066,2.29323,,,
SPEY Mk555,28.4325,0.942203,0.439392,2.08631,58.6,0.5,False,3.72,0.22,0,0.333971,1.83846,,,
TAY611-8C,26.58,1.05112,0.231901,2.54349,48.8,0.725,False,2.98,0.04,0.604,0.848406,0.603319,,,
TAY 650,18.5531,0.940982,0.105361,3.26774,44.72,0.585,False,2.46,0.165,0,0.0599556,3.69134,,,
TAY 651,24.4555,1.19009,0.952577,1.78454,65.36,1.805,False,6.2,0.465,0,0.885874,1.04775,,,
TAY Mk611-8,28.3469,1.10309,0.49526,2.05385,48.2,0.75,False,6.8,0.55,0,0.761322,1.21827,,,
TAY Mk620-15,28.3469,1.10309,0.49526,2.05385,48.2,0.75,False,6.8,0.55,0,0.761322,1.21827,,,
TAY Mk650-15,23.6545,1.17897,0.957773,1.78796,67.54,1.875,False,6.58,0.39,0,0.840299,1.13989,,,
Trent 553-61,19.1072,0.968528,0.822201,2.13182,21,0.31,False,0.28,0.015,0,0.690631,-0.118917,,,
Trent 556-61,19.1906,1.00737,0.758186,2.19095,19.92,0.275,False,0.26,0.015,0,0.737403,-0.304091,,,
Trent 768,12.4168,0.859819,2.95649,1.65785,53.88,0.42,False,6.38,0.005,2.375,0.709129,2.58359,,,
Trent 772,12.3196,0.898157,3.26979,1.53795,47.94,0.35,False,4.92,0.01,0,0.873415,2.02387,,,
Trent 875,11.8875,0.889689,2.82191,1.56336,39.32,0.175,False,3.56,0,0,,,-14.5788,-7.80938,-7
Trent 877,11.8967,0.898011,2.94853,1.47156,36.84,0.18,False,3.1,0,0,,,-14.1798,-7.64883,-7
Trent 884,11.5871,0.956273,3.7074,1.22275,30.38,0.21,False,2,0,0,,,-14.1297,-7.18691,-7
Trent 892,11.5956,0.982754,4.17282,0.956425,26.14,0.24,False,1.4,0.005,0,,,-13.0912,-7,-4.5
Trent 895,10.6946,1.05291,7.58526,0.596156,29.42,0.23,False,1.78,0.01,0,,,-13.8248,-6.70706,-4.34949
Trent 1000-A2,20.0458,0.976174,1.10787,1.73326,16.8,0.48,False,0.08,0,0,,,-13.7975,-9.82595,-7
Trent 1000-C2,20.1215,1.01804,1.20731,1.55224,14.74,0.49,False,0.06,0,0,,,-12.7145,-9.24444,-7
Trent 1000-D2,20.1215,1.01804,1.20731,1.55224,14.74,0.49,False,0.06,0,0,,,-12.7145,-9.24444,-7
Trent 1000-E2,19.7325,0.89926,0.957938,1.95685,22.7,0.44,False,0.2,0,0,,,-15.3348,-10.9936,-7
Trent 1000-G2,20.1281,0.997256,1.18293,1.59342,15.62,0.485,False,0.08,0,0,,,-13.1721,-9.49078,-7
Trent 1000-H2,19.9264,0.933743,1.02398,1.85402,19.64,0.455,False,0.14,0,0,,,-14.7022,-10.4561,-7
Trent 1000-J2,19.9719,1.05898,1.27689,1.46856,13.6,0.46,False,0.04,0,0,,,-12.109,-8.90585,-7
Trent 1000-K2,19.9719,1.05898,1.27689,1.46856,13.6,0.46,False,0.04,0,0,,,-12.109,-8.90585,-7
Trent 1000-L2,20.1215,1.01804,1.20731,1.55224,14.74,0.49,False,0.06,0,0,,,-12.7145,-9.24444,-7
Trent 1000-AE3,20.6845,0.943298,1.17463,1.49452,13.86,0.435,True,,,,,,,,
Trent 1000-CE3,20.689,0.982205,1.22725,1.42428,12.46,0.43,True,,,,,,,,
Trent 1000 -D3,20.689,0.982205,1.22725,1.42428,12.46,0.43,True,,,,,,,,
Trent 1000-G3,20.6943,0.965034,1.20605,1.45719,13.08,0.435,True,,,,,,,,
Trent 1000-H3,20.5879,0.903882,1.11184,1.5774,15.56,0.44,True,,,,,,,,
Trent 1000-J3,20.6183,1.00796,1.2598,1.37908,11.6,0.395,True,,,,,,,,
Trent 1000 -K3,20.6183,1.00796,1.2598,1.37908,11.6,0.395,True,,,,,,,,
Trent 1000 -L3,20.689,0.982205,1.22725,1.42428,12.46,0.43,True,,,,,,,,
Trent 1000-M3,20.5966,1.02818,1.31675,1.38845,12.26,0.435,True,,,,,,,,
Trent 1000 -N3,20.5966,1.02818,1.31675,1.38845,12.26,0.435,True,,,,,,,,
Trent 1000 -P3,20.689,0.982205,1.22725,1.42428,12.46,0.43,True,,,,,,,,
Trent 1000-Q3,20.6183,1.00796,1.2598,1.37908,11.6,0.395,True,,,,,,,,
Trent 1000-R3,20.5003,1.04626,1.33379,1.36645,11.98,0.44,True,,,,,,,,
Trent7000-72,21.0389,1.05916,1.21581,1.41644,12.9,0.43,True,,,,,,,,
Trent7000-72C,21.0389,1.05916,1.21581,1.41644,12.9,0.43,True,,,,,,,,
Trent XWB-75,14.2531,1.04253,2.12791,1.97741,50.52,0.4,False,2.84,0,1.98,0.115891,5.21411,,,
Trent XWB-79B,14.1729,1.07203,2.27185,1.91211,46.74,0.395,False,2.44,0,2.129,0.162894,4.74673,,,
Trent XWB-79,14.1729,1.07203,2.27185,1.91211,46.74,0.395,False,2.44,0,2.129,0.162894,4.74673,,,
Trent XWB-84,14.0253,1.11045,2.48267,1.81715,42.92,0.39,False,2.06,0,2.306,0.227076,4.21227,,,
Trent XWB-97,13.1627,1.14222,2.1684,2.08412,38.18,0.585,False,1.78,0,0,,,-15.5912,-7.66096,-7
Trent 970-84,15.8681,0.88142,2.0009,1.48059,26.76,0.315,False,0.16,0.07,0,1.66786,-2.79827,,,
Trent 970B-84,15.8414,0.9135,2.0716,1.4343,25.3,0.32,False,0.14,0.045,0,1.60261,-2.76404,,,
Trent 972-84,15.8605,0.897058,2.03495,1.45763,26,0.315,False,0.14,0.06,0,1.57487,-2.71845,,,
Trent 972E-84,15.8605,0.897058,2.03495,1.45763,26,0.315,False,0.14,0.06,0,1.57487,-2.71845,,,
ALF 502L-2,24.0655,0.624883,0.0879664,2.53878,91.26,0.35,False,13.3,0.0215,0,6.4397e-05,6.68325,,,
ALF 502R-3,19.7658,0.5407,0.430851,1.62785,89.34,0.4665,False,13.02,0.0545,0,0.000110734,6.3128,,,
ALF 502R-5,22.5155,0.557326,0.414945,1.58701,81.86,0.275,False,10.78,0.0565,0,0.000125475,6.11327,,,
"LF507-1F, -1H",29.1139,0.697661,0.132643,2.2382,75.66,0.25,False,9.44,0.01,0,1.06079e-05,7.23419,,,
D-36 ser. 4A,38.7111,0.89014,0.337783,2.08834,41.4,0.45,False,10.8,0,0,,,-21.4494,-21.4937,-7
D-436-148 F1,34.109,0.989844,0.397574,2.03366,46.92,0.54,False,4.52,0.07,0,0.00327661,5.40134,,,
D-436-148 F2,33.7983,0.997581,0.398855,2.01678,39.12,0.44,False,2.78,0.07,0,0.0155144,4.38776,,,
