uid,name,type,manufacturer,bpr,pr,max_thrust,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,curise_mach,curise_alt
5PW075,PW4168,TF,Pratt and Whitney,5.1,31.84,302500,1.1180277155295952,-1.268592166522939,3.0397135517686693,,,,
9PW093,PW4168-1D,TF,Pratt & Whitney,4.92,33.1,305100,1.1963595236805313,-1.3363046717009603,3.082015763507231,,,,
7PW082,PW4168A,TF,Pratt & Whitney,5.1,31.84,302500,1.1180277155295952,-1.268592166522939,3.0397135517686693,,,,
9PW094,PW4168A-1D,TF,Pratt & Whitney,4.92,33.1,305100,1.1963595236805313,-1.3363046717009603,3.082015763507231,,,,
12PW101,PW4060,TF,Pratt & Whitney,4.7,29.7,266900,1.6164934397615944,-1.7911191249064764,2.744271597062665,,,,
12PW102,PW4062,TF,Pratt & Whitney,4.6,31,275800,2.0070828120391635,-2.1693940055509304,2.889425935122002,,,,
9PW095,PW4170,TF,Pratt & Whitney,4.86,33.8,311400,1.3509920167619158,-1.4880857988142677,3.1609450061195528,,,,
1PW051,PW4256,TF,Pratt & Whitney,4.7,29.3,252400,0.8904467086602986,-0.7915659556334542,2.3533293355358187,,,,
1PW052,PW4460,TF,Pratt & Whitney,4.5,32.4,266900,1.7709650691974692,-1.9183701604468224,2.797510723404418,,,,
1PW053,PW4x50,TF,Pratt & Whitney,5.0,25.39,222400,0.67080990359548,-0.818436510835679,2.179911309579471,,,,
1PW054,PW4x52,TF,Pratt & Whitney,5.0,26.32,231300,0.7472513202308797,-0.8743518266907042,2.259347799258561,,,,
1PW055,PW4x56,TF,Pratt & Whitney,4.8,28.37,249100,1.0259668239033208,-1.1174558901517744,2.4474882811747274,,,,
1PW056,PW4x58,TF,Pratt & Whitney,4.8,29.49,258000,1.2895695305581607,-1.373087383503089,2.5702264994890442,,,,
5PW074,PW4X58,TF,Pratt and Whitney,4.8,28.41,258000,1.316747908906274,-1.3781068479059342,2.5620185271266096,,,,
1PW057,PW4x60,TF,Pratt & Whitney,4.7,30.68,266900,1.6220308740311835,-1.6983546397864895,2.703690035683023,,,,
1PW059,PW4x62,TF,Pratt & Whitney,4.6,31.91,275800,1.8705411405341685,-1.9166849728875845,2.8172749242648027,,,,
7PW083,PW6122A,MTF,Pratt & Whitney,4.8,25.7,98310,0.5548736058305915,-0.725028826867429,1.2203767599914315,,,,
7PW084,PW6124A,MTF,Pratt & Whitney,4.8,28,105870,0.7595680082975997,-0.9138455336627485,1.326312427889088,,,,
1RR001,M45H-01,TF,Rolls Royce plc,3.0,16.5,32400,0.18991587134928378,-0.25843289364930744,0.5682421610333284,,,,
1RR003,RB211-22B,TF,Rolls Royce plc,4.7,25,182500,1.2516857032426192,-1.766464416632612,2.399583274122738,,,,
1RR005,RB211-524B,TF,Rolls Royce plc,4.5,28.4,218500,1.4922108148701878,-1.9068676304525907,2.632378823257663,,,,
1RR006,RB211-524C2,TF,Rolls Royce plc,4.5,29.1,224800,1.9176071980238552,-2.641638039680415,3.2144687515955446,,,,
1RR008,RB211-524D4,TF,Rolls Royce plc,4.3,30.22,231300,1.3279275574821168,-1.6354738133487243,2.6572993236673854,,,,
1RR010,RB211-524G,MTF,Rolls Royce plc,4.25,32.1,253000,1.8810136253124359,-2.1631673663024173,2.910077111762302,,,,
4RR036,RB211-524G-T,MTF,Rolls Royce plc,4.25,32.1,253000,1.8572319640989567,-2.302299098977576,3.0717197475454987,,,,
1RR011,RB211-524H,MTF,Rolls Royce plc,4.2,34,264400,1.7424022013756477,-1.8760021556842061,2.871682168505823,,,,
