engine,cruise_thrust,cruise_sfc,curise_mach,curise_alt
CF6-80A1,11045,0.0176,0.8,35000
CF6-80A2,11045,0.0176,0.8,35000
CF6-80A3,11045,0.0176,0.8,35000
CF6-80C2,11330,,0.85,35000
CF6-80C2A1,11810,0.0163,0.8,35000
CF6-80C2A2,11330,0.0164,0.8,35000
CF6-80C2A3,11340,0.0163,0.8,35000
CF6-80C2B1,12820,0.0163,0.8,35000
CF6-80C2B1F,12820,0.016,0.8,35000
CF6-80C2B2,12000,0.0163,0.8,35000
GE90-76B,17500,0.0154,0.83,35000
GE90-85B,17500,0.0147,0.83,35000
AI-25,976,0.0225,0.5,20000
D-18T,10716,0.0161,0.75,36100
D-18T-1,11596,0.0174,0.8,36100
JT8D-7,4270,0.0225,0.8,30000
JT8D-7 (HK3),4270,0.0225,0.8,30000
JT8D-7A,4270,0.0225,0.8,30000
JT8D-7A (HK3),4270,0.0225,0.8,30000
JT8D-7B,4270,0.0225,0.8,30000
JT8D-7B (HK),4270,0.0225,0.8,30000
JT8D-7B (HK3),4270,0.0225,0.8,30000
JT8D-7B (Q),4270,0.0225,0.8,30000
JT8D-9,4540,0.0227,0.8,30000
JT8D-9 (HK3),4540,0.0227,0.8,30000
JT8D-9A,4540,0.0227,0.8,30000
JT8D-9A (HK3),4540,0.0227,0.8,30000
JT8D-11,4750,0.0228,0.8,30000
JT8D-11 (HK),4750,0.0228,0.8,30000
JT8D-11 (HK3),4750,0.0228,0.8,30000
JT8D-15,4920,0.0229,0.8,30000
JT8D-15 (HK),4920,0.0229,0.8,30000
JT8D-15 (HK3),4920,0.0229,0.8,30000
JT8D-15A,4920,0.0229,0.8,30000
JT8D-15A (HK3),4920,0.0229,0.8,30000
JT8D-17,5140,0.0231,0.8,30000
JT8D-17 (HK3),5140,0.0231,0.8,30000
JT8D-17A,5140,0.0219,0.8,30000
JT8D-17A (HK3),5140,0.0219,0.8,30000
JT8D-17AR,5140,0.0221,0.8,30000
JT8D-17R,5140,0.0232,0.8,30000
JT8D-17R (HK3),5140,0.0232,0.8,30000
JT8D-209,4945,0.0205,0.8,35000
JT8D-217,5240,0.0213,0.8,35000
JT8D-217A,5240,0.0213,0.8,35000
JT8D-217C,5240,0.0208,0.8,35000
JT8D-219,5250,0.0209,0.8,35000
JT9D-3A,10200,0.0177,0.85,35000
JT9D-7,10200,0.0176,0.85,35000
JT9D-7A,10830,0.0177,0.85,35000
JT9D-7ASP,10680,0.0178,0.85,35000
JT9D-7F,11050,0.0179,0.85,35000
JT9D-7J,11050,0.0179,0.85,35000
JT9D-7Q,11950,0.0179,0.85,35000
JT9D-7Q3,11950,0.0179,0.85,35000
JT9D-7R,11200,0.0174,0.85,35000
JT9D-7R4D,11200,0.0174,0.85,35000
JT9D-7R4D1,11200,0.0174,0.85,35000
JT9D-7R4E,11700,0.0176,0.85,35000
JT9D-7R4E1,11700,0.0176,0.85,35000
JT9D-7R4E3,11700,0.0176,0.85,35000
JT9D-7R4E4,11700,0.0176,0.85,35000
JT9D-7R4G2,12250,0.0181,0.85,35000
JT9D-7R4H1,12250,0.0178,0.85,35000
JT9D-20,10680,0.0177,0.85,35000
JT9D-20J,10680,0.0177,0.85,35000
JT9D-59,11950,0.0179,0.85,35000
JT9D-59A,11950,0.0179,0.85,35000
JT9D-59B,12200,0.0179,0.85,35000
JT9D-70A,11950,0.0179,0.85,35000
JT9D-70B,12200,0.0179,0.85,35000
PW2037,6500,0.0165,0.85,35000
PW2040,6500,0.0165,0.85,35000
PW2237,6500,0.0165,0.85,35000
PW2240,6500,0.0165,0.85,35000
PW2337,6500,0.0165,0.85,35000
PW4098,14000,0.0165,0.83,35000
D-36-1,3527,0.0184,0.75,26250
Conway RCo.12 Mk.508,4625,0.0233,0.83,36000
Conway RCo.12 Mk.508A,4625,0.0233,0.83,36000
Conway RCo.12 Mk.509,4625,0.0233,0.83,36000
Conway RCo.12 Mk.509A,4625,0.0233,0.83,36000
Conway RCo.42 Mk.540,5250,0.0238,0.83,36000
Conway RCo.43D Mk.550B,5345,0.0232,0.83,36000
RB.211-22B-02,9495,0.0178,0.85,35000
RB.211-524B4-02,11000,0.0172,0.85,35000
RB.211-524C,11490,0.0182,0.85,35000
RB.211-524C2,11490,0.0182,0.85,35000
RB.211-524D4,11230,0.0175,0.85,35000
RB.211-524D4B,11230,0.017,0.85,35000
RB.211-524G,11813,0.0161,0.85,35000
RB.211-524G-T,11813,0.0161,0.85,35000
RB.211-524G/H,11813,0.0161,0.85,35000
RB.211-524G/H-T,11813,0.0161,0.85,35000
RB.211-524H,11813,0.0161,0.85,35000
RB.211-524H-T,11813,0.0161,0.85,35000
RB.211-535C-37,8453,0.0183,0.8,35000
RB.211-535E4-37,8700,0.0169,0.8,35000
Spey RSp.1 Mk.505-5,3070,0.0216,0.77,32000
Spey RSp.3 Mk.506-2,3070,0.0216,0.77,32000
Spey RSp.3 Mk.506-14,3070,0.0216,0.77,32000
Spey RSp.3 Mk.506-14A,3070,0.0216,0.77,32000
Spey RSp.3W Mk.506-14AW,3070,0.0216,0.77,32000
Spey RSp.3 Mk.506-14D,3070,0.0216,0.77,32000
Spey RSp.4 Mk.510-5,3070,0.0218,0.77,32000
Spey RSp.4 Mk.510-14,3070,0.0218,0.77,32000
Spey RSp.4 Mk.510-14W,3070,0.0218,0.77,32000
Spey RSp.4 Mk.511-5,3070,0.0218,0.77,32000
Spey RSp.4 Mk.511-5W,3070,0.0218,0.77,32000
Spey RSp.4 Mk.511-8,3070,0.0218,0.77,32000
Spey RSp.4 Mk.511-14,3070,0.0218,0.77,32000
Spey RSp.4 Mk.511-14W,3070,0.0218,0.77,32000
Spey RSp.4 Mk.512-5W,3070,,0.77,32000
Spey RSp.4 Mk.512-14,3070,,0.77,32000
Spey RSp.4 Mk.512-14DW,3070,,0.77,32000
Spey RSp.4 Mk.512-14DWE,3070,,0.77,32000
Spey RSp.4 Mk.512-25,3070,,0.77,32000
Trent 772-60,11500,0.016,0.82,35000
Trent 890-17,13000,0.0158,0.83,35000
M45H-D Mk.501,2745,0.0205,0.65,20000
PS-7,3417,0.0176,0.8,36000
PS-9,4630,0.0167,0.8,36000
PS-12,5665,0.0156,0.8,36000
PS-12M,6062,0.0157,0.8,36000
