icao,lat,lon,alt,country,name,location
SCSF,-32.73996,-70.70657,2159,CL,Victor Lafon,San Felipe
SCSH,-39.06627,-73.17176,82,CL,El Budi,Carahue
SCSL,49.452,-122.2275,262,CA,Stave Lake,Abbotsford
SCSN,-33.65867,-71.61929,246,CL,Santo Domingo,San Antonio
SCST,-42.486,-73.77467,144,CL,Gamboa Apt,Castro
SCTA,-37.74116,-71.7109,1817,CL,Santa Luisa,Mulchen
SCTB,-33.46128,-70.54803,2129,CL,Eulogio Sanchez,"Villa Presidente Frei, Nunoa, Santiago, Chile"
SCTC,-38.7698,-72.6461,304,CL,Maquehue,Temuco
SCTE,-41.42708,-73.09617,293,CL,El Tepual,Puerto Varas
SCTL,-35.38174,-71.60554,371,CL,Panguilemo,Talca
SCTN,-42.92895,-72.7061,13,CL,Chaiten,Chaiten
SCTO,-38.25009,-72.35049,1147,CL,Victoria,Victoria
SCTR,-38.27466,-72.66304,812,CL,Traiguen,Traiguen
SCTT,-25.55931,-70.37819,2580,CL,Las Breas,Taltal
SCVD,-39.64054,-73.08654,59,CL,Pichoy,Las Animas
SCVL,-39.79111,-73.24111,13,CL,Las Marias,Valdivia
SCVM,-32.95445,-71.48601,461,CL,Vina Del Mar,Vina del Mar
SCVO,-38.23175,-72.48881,978,CL,Maria Ester,Victoria
SCXR,-40.32001,-72.22688,328,CL,Las Bandurrias,Puyehue
SDAA,-22.33676,-47.36431,2247,BR,Araras,Araras
SDAD,-21.698,-51.10309,1394,BR,Everaldo Moraes Barreto,Adamantina
SDAE,-22.5812,-47.90029,1858,BR,Sao Pedro,Sao Pedro
SDAF,-22.15759,-47.72403,2762,BR,Fazenda Palmeiras,Itirapina
SDAG,-22.97638,-44.31205,9,BR,Angra Dos Reis,Angra dos Reis
SDAI,-22.75532,-47.27483,2085,BR,Americana,Nova Odessa
SDAJ,-20.84396,-50.79436,1126,BR,Fazenda Santa Marina,Auriflama
SDAL,-21.81638,-47.907,2434,BR,Fazenda Alamo,Ibate
SDAM,-22.8552,-47.11217,2008,BR,Amarais,Campinas
SDAN,-22.24488,-48.2616,1680,BR,Fazenda Santo Angelo,Brotas
SDAO,-14.02517,-56.54114,1542,BR,Fazenda Portela,Diamantino
SDAS,-21.27862,-51.28854,1141,BR,Fazenda Santo Antonio 4,Mirandopolis
SDAY,-21.4652,-48.36981,2034,BR,Fazenda Altair,Matao
SDBA,-20.87636,-47.59077,2890,BR,Batatais,Batatais
SDBB,-20.89732,-48.47977,1942,BR,Bebedouro,Bebedouro
SDBE,-2.20978,-48.81939,66,BR,Biopalma,Igarape Miri
SDBI,-21.28187,-50.33081,1394,BR,Aeroclube,Birigui
SDBK,-22.94626,-48.46826,3012,BR,Botucatu,Botucatu
SDBN,-23.69148,-47.55667,2316,BR,Fazenda Bonanza,Salto de Pirapora
SDBP,-22.97445,-46.54049,2887,BR,Aeroporto Estadual Arthur Siqueira,Braganca Paulista
SDBU,-21.63797,-53.30745,1201,BR,Fazenda Douradinho,Bataipora
SDBV,-24.86877,-47.76025,26,BR,Balneario Sao Januario,Pariquera Acu
SDBY,-22.06884,-48.71318,1591,BR,Bariri,Bariri
SDCA,-24.03136,-48.36093,2402,BR,Capao Bonito,Capao Bonito
SDCC,-21.21721,-50.41111,1253,BR,Country Club Orgabil,Aracatuba
SDCD,-21.15303,-48.99262,1841,BR,Catanduva,Catanduva
SDCE,-17.44354,-44.93864,1766,BR,Fazenda Marambaia,Buritizeiro
