ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
1134,0.0863689523911873,0.09395051733819643,83.93972862201285,84.10388082938864,86.45522832228806,86.73524384666517,-0.5470980130709134,-0.0018416935847355765,8998.0,-14.0,276.8046875,-2.5,21.791,242.375,0.43171093749999995,8765.0,51.81165000423789,5.324828289449215,312.75,90.80364990234375,91.0107421875,36.0,-85.78125,5814.250913957941,164.69604604205972
1135,0.08641754043892501,0.09407429973370546,83.94371359090445,84.13069553573726,86.45919298362146,86.75243972588764,-0.60699462890625,-0.007689070716271033,8997.6875,-25.0,277.09765625,-2.5,21.791,242.65625,0.4321953125,8765.0,51.81162443943322,5.327159967273474,312.625,90.823974609375,90.98876953125,36.0,-85.78125,5814.0704221177675,164.87653788223236
1136,0.08637401135427039,0.09413356384414172,83.95677582566165,84.14402426706432,86.4652282212579,86.75340170831726,-0.5631549541766827,-0.0057783136221078715,8997.5625,-20.0,277.12890625,-2.5,21.791,242.6796875,0.43224218750000004,8764.0,51.811598958447576,5.329490136355162,312.625,90.841552734375,90.966796875,35.5,-85.78125,5813.889914542569,165.05704545743077
1137,0.08644180343244008,0.09411188571357637,83.96830992930609,84.15844700501076,86.47039181752204,86.7653860301706,-0.6336153470552884,-0.008356684640737681,8997.3125,-11.0,277.09375,-2.5,21.791,242.6328125,0.432171875,8764.0,51.81157389655709,5.331821562722325,312.625,90.7657470703125,90.966796875,35.0,-85.78125,5813.709360853423,165.2375991465768
1138,0.08639751445359217,0.0941170306113466,83.95860544683765,84.15582346176456,86.46443978837954,86.76163776005386,-0.5698101337139423,-0.016252945885291463,8996.9375,-44.0,277.0703125,-2.5,21.791249999999998,242.625,0.43214062499999994,8764.0,51.8115493375808,5.334152318537235,312.5,90.8162841796875,90.94482421875,35.0,-86.1328125,5813.528846308359,165.41811369164174
1139,0.08643002835615278,0.0940973551824281,83.9545555160686,84.14371192473409,86.46612641331998,86.75417075665015,-0.6543203500600961,-0.0008748044527493986,8997.1875,12.0,276.99609375,-2.5,21.791,242.5546875,0.4320078125,8764.0,51.811525197699666,5.336482739076018,312.5,90.66741943359375,90.9228515625,35.0,-86.484375,5813.34831892482,165.59864107518032
1140,0.08636631097391907,0.09412685866171654,83.22834842741571,84.16252828397594,85.72171604445394,86.76431426756396,-0.4542743035082547,-0.020304671771709734,8997.0,-26.0,276.9765625,-2.5,21.791,242.53125,0.43197656250000005,8765.0,51.81150147691369,5.3388128243386745,312.5,90.89263916015625,90.9228515625,35.0,-86.484375,5813.167825755184,165.77913424481596
1141,0.08635562888311102,0.09412174662569549,83.9323151824029,84.16138828300703,86.45354307063192,86.76307886623387,-0.5460416353665866,-0.0014733548677884612,8997.5625,23.0,277.12890625,-2.5,21.790625,242.671875,0.43221875000000004,8765.0,51.81147767230868,5.341142155230045,312.375,90.7547607421875,90.9228515625,35.0,-86.484375,5812.9873483796755,165.95961162032478
1142,0.08633641166510793,0.09404551358592268,83.94582424689447,84.14949765185644,86.46127525007225,86.75589702033913,-0.41420569786658656,-0.01666732694185697,8998.0,27.0,277.01953125,-2.5,21.790374999999997,242.546875,0.43203125,8766.0,51.8114544544369,5.3434716537594795,312.375,90.95965576171875,90.90087890625,35.0,-86.484375,5812.806966454425,166.1399935455758
1143,0.08640349483223288,0.09412385876945271,83.95678949604583,84.15284213006869,86.4613773983852,86.75794712986799,-0.5278719388521634,0.007747275183335787,8998.3125,7.0,276.953125,-2.5,21.790249999999997,242.5078125,0.43196093750000003,8766.0,51.81143115274608,5.345800900831819,312.375,90.73223876953125,90.90087890625,35.0,-86.484375,5812.626439100823,166.3205208991775
