engine,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
JT8D-7B (Q),18993,0.0225,0.8,30000
JT8D-9,20194,0.0227,0.8,30000
JT8D-9 (HK3),20194,0.0227,0.8,30000
JT8D-9A,20194,0.0227,0.8,30000
JT8D-9A (HK3),20194,0.0227,0.8,30000
JT8D-11,21129,0.0228,0.8,30000
JT8D-11 (HK),21129,0.0228,0.8,30000
JT8D-11 (HK3),21129,0.0228,0.8,30000
JT8D-15,21885,0.0229,0.8,30000
JT8D-15 (HK),21885,0.0229,0.8,30000
JT8D-15 (HK3),21885,0.0229,0.8,30000
JT8D-15A,21885,0.0229,0.8,30000
JT8D-15A (HK3),21885,0.0229,0.8,30000
JT8D-17,22863,0.0231,0.8,30000
JT8D-17 (HK3),22863,0.0231,0.8,30000
JT8D-17A,22863,0.0219,0.8,30000
JT8D-17A (HK3),22863,0.0219,0.8,30000
JT8D-17AR,22863,0.0221,0.8,30000
JT8D-17R,22863,0.0232,0.8,30000
JT8D-17R (HK3),22863,0.0232,0.8,30000
JT8D-209,21996,0.0205,0.8,35000
JT8D-217,23308,0.0213,0.8,35000
JT8D-217A,23308,0.0213,0.8,35000
JT8D-217C,23308,0.0208,0.8,35000
JT8D-219,23353,0.0209,0.8,35000
JT9D-3A,45371,0.0177,0.85,35000
JT9D-7,45371,0.0176,0.85,35000
JT9D-7A,48174,0.0177,0.85,35000
JT9D-7ASP,47506,0.0178,0.85,35000
JT9D-7F,49152,0.0179,0.85,35000
JT9D-7J,49152,0.0179,0.85,35000
JT9D-7Q,53156,0.0179,0.85,35000
JT9D-7Q3,53156,0.0179,0.85,35000
JT9D-7R,49820,0.0174,0.85,35000
JT9D-7R4D,49820,0.0174,0.85,35000
JT9D-7R4D1,49820,0.0174,0.85,35000
JT9D-7R4E,52044,0.0176,0.85,35000
JT9D-7R4E1,52044,0.0176,0.85,35000
JT9D-7R4E3,52044,0.0176,0.85,35000
JT9D-7R4E4,52044,0.0176,0.85,35000
JT9D-7R4G2,54490,0.0181,0.85,35000
JT9D-7R4H1,54490,0.0178,0.85,35000
JT9D-20,47506,0.0177,0.85,35000
JT9D-20J,47506,0.0177,0.85,35000
JT9D-59,53156,0.0179,0.85,35000
JT9D-59A,53156,0.0179,0.85,35000
JT9D-59B,54268,0.0179,0.85,35000
JT9D-70A,53156,0.0179,0.85,35000
JT9D-70B,54268,0.0179,0.85,35000
PW2037,28913,0.0165,0.85,35000
PW2040,28913,0.0165,0.85,35000
PW2237,28913,0.0165,0.85,35000
PW2240,28913,0.0165,0.85,35000
PW2337,28913,0.0165,0.85,35000
PW4098,62275,0.0165,0.83,35000
D-36-1,15688,0.0184,0.75,26250
Conway RCo.12 Mk.508,20573,0.0233,0.83,36000
Conway RCo.12 Mk.508A,20573,0.0233,0.83,36000
Conway RCo.12 Mk.509,20573,0.0233,0.83,36000
Conway RCo.12 Mk.509A,20573,0.0233,0.83,36000
Conway RCo.42 Mk.540,23353,0.0238,0.83,36000
Conway RCo.43D Mk.550B,23775,0.0232,0.83,36000
RB.211-22B-02,42235,0.0178,0.85,35000
RB.211-524B4-02,48930,0.0172,0.85,35000
RB.211-524C,51110,0.0182,0.85,35000
RB.211-524C2,51110,0.0182,0.85,35000
RB.211-524D4,49953,0.0175,0.85,35000
RB.211-524D4B,49953,0.017,0.85,35000
RB.211-524G,52546,0.0161,0.85,35000
