uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
11CM077,CFM56-7B27E,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
11CM078,CFM56-7B27E/B1,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
11CM082,CFM56-7B27E/B1F,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
11CM079,CFM56-7B27E/B3,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
11CM081,CFM56-7B27E/F,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
20CM088,LEAP-1A24/24E1/23,CFM International,TF,11.3,30,106800,0.02,0.02,0.05,0.37,0.24,0.41,3.53,23.79,17.59,9.41,8.02,4.45,0.745,0.616,0.219,0.087,301,0.418362,-0.573294,0.903095,,,,
20CM089,LEAP-1A26/26E1,CFM International,TF,11.1,33.3,120600,0.02,0.02,0.04,0.29,0.24,0.26,2.65,21.63,30.8,13.38,8.75,4.61,0.861,0.71,0.244,0.091,330,0.39405,-0.493804,0.963842,,,,
20CM090,LEAP-1A35A/33/33B2/32/30,CFM International,TF,10.5,38.5,143100,0.05,0.02,0.04,0.21,0.3,0.24,1.79,18.68,59.74,32.35,9.95,4.85,1.062,0.869,0.284,0.098,380,0.382969,-0.381695,1.06375,,,,
20CM091,LEAP-1A26CJ,CFM International,TF,11.1,33.3,120600,0.02,0.02,0.04,0.29,0.24,0.26,2.65,21.63,30.8,13.38,8.75,4.61,0.861,0.71,0.244,0.091,330,0.39405,-0.493804,0.963842,,,,
20CM092,LEAP-1A29,CFM International,TF,10.7,35.5,130300,0.04,0.02,0.04,0.25,0.27,0.23,2.21,20.3,49.48,21.03,9.27,4.72,0.946,0.777,0.261,0.094,352,0.393193,-0.451701,1.00756,,,,
20CM093,LEAP-1A29CJ,CFM International,TF,10.7,35.5,130300,0.04,0.02,0.04,0.25,0.27,0.23,2.21,20.3,49.48,21.03,9.27,4.72,0.946,0.777,0.261,0.094,352,0.393193,-0.451701,1.00756,,,,
20CM094,LEAP-1B21,CFM International,TF,8.5,36.8,111300,0.04,0.04,0.05,0.71,0.15,0.16,1.49,16.19,30.39,17.53,10.26,4.74,0.877,0.722,0.245,0.089,330,0.372546,-0.445006,0.952377,,,,
20CM095,LEAP-1B23,CFM International,TF,8.5,37.9,115200,0.04,0.04,0.05,0.64,0.16,0.14,1.36,15.61,38.19,18.11,10.7,4.63,0.916,0.752,0.253,0.091,340,0.38686,-0.446339,0.978417,,,,
20CM096,LEAP-1B25,CFM International,TF,8.4,40.135,119200,0.04,0.04,0.05,0.59,0.17,0.14,1.25,15.27,48.9,20.35,11.1,4.57,0.96,0.784,0.26,0.091,348,0.400576,-0.432333,0.994551,,,,
20CM097,LEAP-1B28BBJ2,CFM International,TF,8.3,40.5,124700,0.05,0.04,0.05,0.51,0.17,0.14,1.11,14.4,55.26,23.26,11.59,4.59,1.014,0.826,0.273,0.095,365,0.433548,-0.461177,1.0445,,,,
20CM098,LEAP-1B27,CFM International,TF,8.3,40.5,124700,0.05,0.04,0.05,0.51,0.17,0.14,1.11,14.4,55.26,23.26,11.59,4.59,1.014,0.826,0.273,0.095,365,0.433548,-0.461177,1.0445,,,,
20CM099,LEAP-1B28B2C,CFM International,TF,8.3,40.5,124700,0.05,0.04,0.05,0.51,0.17,0.14,1.11,14.4,55.26,23.26,11.59,4.59,1.014,0.826,0.273,0.095,365,0.433548,-0.461177,1.0445,,,,
20CM100,LEAP-1B28BBJ1,CFM International,TF,8.3,42,130400,0.05,0.04,0.05,0.46,0.18,0.15,0.99,13.77,64.36,29.59,11.92,4.68,1.075,0.873,0.285,0.097,380,0.444748,-0.444915,1.07799,,,,
20CM101,LEAP-1B28/28B2/28B1/28B3,CFM International,TF,8.3,42,130400,0.05,0.04,0.05,0.46,0.18,0.15,0.99,13.77,64.36,29.59,11.92,4.68,1.075,0.873,0.285,0.097,380,0.444748,-0.444915,1.07799,,,,
9EA001,GP7270,Engine Alliance,TF,8.71,36.62,332390,0.03,0.03,0.07,4.04,0.11,0.09,1.27,33.58,41.73,31.37,12.9,5.24,2.637,2.169,0.711,0.234,932,0.780584,-0.739431,2.60245,56194,,0.85,35000
11GE140,CF34-10A16,GE Aircraft Engines,TF,5.7,25.1,76900,0.06,0.08,0.14,6.96,0.49,0.34,3.98,52.05,17.87,15.04,7.97,3.45,0.765,0.632,0.219,0.083,298,0.361701,-0.466498,0.872676,,,,
11GE141,CF34-10A18,GE Aircraft Engines,TF,5.4,26.5,82100,0.05,0.08,0.13,5.67,0.66,0.36,3.43,47.29,19.47,16.72,8.26,3.58,0.826,0.684,0.232,0.086,315,0.320638,-0.389554,0.897899,,,,
8GE114,CF34-10E2A1,GE Aircraft Engines,TF,5.09,25.1,75440,0.04,0.05,0.1,5.44,0.41,0.38,4.46,50.81,17.98,15.26,7.64,3.56,0.769,0.64,0.222,0.084,301,0.317496,-0.419,0.873471,,,,
8GE115,CF34-10E5,GE Aircraft Engines,TF,5.09,25.6,77400,0.04,0.06,0.09,5.15,0.43,0.38,4.18,49.4,18.51,15.62,7.76,3.59,0.792,0.659,0.227,0.085,307,0.309577,-0.399823,0.885223,,,,
8GE117,CF34-10E5A1,GE Aircraft Engines,TF,5.09,27.3,83700,0.01,0.05,0.06,4.3,0.52,0.39,3.37,44.93,20.45,16.88,8.14,3.72,0.871,0.72,0.244,0.088,328,0.333546,-0.397701,0.938046,,,,
8GE116,CF34-10E6,GE Aircraft Engines,TF,5.09,25.6,77400,0.04,0.06,0.09,5.15,0.43,0.38,4.18,49.4,18.51,15.62,7.76,3.59,0.792,0.659,0.227,0.085,307,0.309577,-0.399823,0.885223,,,,
8GE118,CF34-10E6A1,GE Aircraft Engines,TF,5.09,27.3,83700,0.01,0.05,0.06,4.3,0.52,0.39,3.37,44.93,20.45,16.88,8.14,3.72,0.871,0.72,0.244,0.088,328,0.333546,-0.397701,0.938046,,,,
8GE119,CF34-10E7,GE Aircraft Engines,TF,5.09,27.3,83700,0.01,0.05,0.06,4.3,0.52,0.39,3.37,44.93,20.45,16.88,8.14,3.72,0.871,0.72,0.244,0.088,328,0.333546,-0.397701,0.938046,,,,
11GE147,CF34-10E7-B,GE Aircraft Engines,TF,5.09,27.2,83700,0.05,0.09,0.1,4.02,0.89,0.77,4.02,41.73,19.68,16.22,7.94,3.69,0.87,0.717,0.239,0.088,326,0.334207,-0.378752,0.917597,,,,
